"edge","bx","by","sx","sy"
"CAD -> HF",0.05964956,0.0083,0.0076066849,0.0077
"CAD -> HF",0.03241119,0.0049,0.0053150627,0.0055
"CAD -> HF",0.06647675,0.0278,0.0068441206,0.0071
"CAD -> HF",0.09369847,0.0167,0.011181728,0.0127
"CAD -> HF",0.04452558,0.0083,0.005449701,0.0064
"CAD -> HF",0.06851571,0.0211,0.0086714891,0.0082
"CAD -> HF",0.042787,-0.0022,0.0062957286,0.0058
"CAD -> HF",0.06831842,0.0039,0.010700781,0.0098
"CAD -> HF",0.09509161,0.0146,0.017260451,0.0168
"CAD -> HF",0.03492086,0.0067,0.0051432577,0.005
"CAD -> HF",0.04710327,0.0174,0.006805113,0.0065
"CAD -> HF",0.04839459,0.0187,0.0081357906,0.0076
"CAD -> HF",0.0336515,0.0165,0.0049314145,0.0047
"CAD -> HF",0.03736159,0.0162,0.0055700092,0.0054
"CAD -> HF",0.04616711,0.0259,0.0055848852,0.0053
"CAD -> HF",0.05436247,0.0224,0.0054311222,0.0053
"CAD -> HF",0.11383127,0.0176,0.0050135424,0.0054
"CAD -> HF",0.03545904,0.0057,0.0051370762,0.0049
"CAD -> HF",0.06293585,0.0251,0.0057464079,0.0053
"CAD -> HF",0.03732556,0.0042,0.0052464255,0.0051
"CAD -> HF",0.058263,0.0246,0.0069348524,0.0069
"CAD -> HF",0.05107042,0.0247,0.0064518967,0.0062
"CAD -> HF",0.04413477,0.0231,0.0062670294,0.0062
"CAD -> HF",0.034525,0.0174,0.0051749054,0.0051
"CAD -> HF",0.03236754,0.0037,0.0051583501,0.0048
"BMI -> CAD",0.0223,0.00947641,0.0018,0.0054180722
"BMI -> CAD",0.0121,0.01071041,0.0018,0.0051389147
"BMI -> CAD",0.0325,0.0073698,0.0016,0.0050545052
"BMI -> CAD",0.0166,0.00340847,0.0022,0.0065394741
"BMI -> CAD",0.0166,0.01010486,0.0019,0.0056343934
"BMI -> CAD",0.0201,-0.00128608,0.0033,0.0088360738
"BMI -> CAD",0.0097,0.00598353,0.0017,0.0049042307
"BMI -> CAD",0.0133,0.00380388,0.0017,0.0049942106
"BMI -> CAD",0.01,-0.00273926,0.0017,0.0049633382
"BMI -> CAD",0.016,0.00601656,0.0017,0.0049467289
"BMI -> CAD",0.0142,0.00570389,0.0019,0.0059972727
"BMI -> CAD",0.0177,-3.06e-05,0.0023,0.0071947545
"BMI -> CAD",0.0146,0.00483296,0.0025,0.0070591517
"BMI -> CAD",0.012,0.01027883,0.0017,0.0049589428
"BMI -> CAD",0.0097,0.00293515,0.0016,0.0050712471
"BMI -> CAD",0.011,0.00184739,0.0019,0.0054491024
"BMI -> CAD",0.0124,0.00397334,0.0017,0.0050507319
"BMI -> CAD",0.0123,0.02667174,0.002,0.0058991358
"BMI -> CAD",0.0121,0.00532838,0.0016,0.0049324533
"BMI -> CAD",0.0114,-0.0030722,0.0017,0.0051485489
"BMI -> CAD",0.0139,0.00385187,0.0019,0.0054743299
"BMI -> CAD",0.0108,0.01275485,0.0018,0.0050479966
"BMI -> CAD",0.0105,0.01067295,0.0017,0.004917164
"BMI -> CAD",0.0094,0.00024019,0.0016,0.0049356403
"BMI -> CAD",0.0125,-0.00158597,0.0017,0.0050508727
"BMI -> CAD",0.0109,-0.00496697,0.002,0.0056020669
"BMI -> CAD",0.0218,0.00665912,0.0027,0.0071755917
"BMI -> CAD",0.0143,0.01056589,0.0026,0.0075011397
"BMI -> CAD",0.0118,0.00399405,0.0017,0.0049388847
"BMI -> CAD",0.0141,0.0085995,0.0019,0.0056778342
"BMI -> CAD",0.0118,0.0026618,0.0019,0.0056184034
"BMI -> CAD",0.0155,0.01227512,0.0016,0.0051033284
"BMI -> CAD",0.0324,0.02510548,0.0016,0.0049544133
"BMI -> CAD",0.0156,-0.00059328,0.0019,0.0053772837
"BMI -> CAD",0.0153,-0.00073149,0.0017,0.0051359392
"BMI -> CAD",0.0182,0.02163076,0.0022,0.0063175936
"BMI -> CAD",0.0113,0.00062847,0.0017,0.0049216672
"BMI -> CAD",0.0132,-0.00260383,0.0021,0.0061733469
"BMI -> CAD",0.0122,0.00928961,0.0018,0.0051504384
"BMI -> CAD",0.0174,0.00026614,0.0029,0.0082018187
"BMI -> CAD",0.011,0.0086796,0.0017,0.0049550943
"BMI -> CAD",0.012,-0.05145261,0.0017,0.0053996142
"BMI -> CAD",0.021,0.00661206,0.0024,0.0072361085
"BMI -> CAD",0.0109,0.00419058,0.0017,0.0050327015
"BMI -> CAD",0.0121,0.00764933,0.0019,0.0058078265
"BMI -> CAD",0.0101,-0.01054568,0.0016,0.004935269
"BMI -> CAD",0.0124,0.01197331,0.0021,0.0061174361
"BMI -> CAD",0.0133,-0.00022059,0.0018,0.0055490581
"BMI -> CAD",0.0206,0.00884375,0.0017,0.0051186302
"BMI -> CAD",0.0123,0.01841421,0.0019,0.0060969314
"BMI -> CAD",0.0128,0.00239414,0.0021,0.0059290404
"BMI -> CAD",0.0129,0.00088707,0.0019,0.0053505967
"BMI -> CAD",0.0109,-0.00077792,0.0018,0.0050427253
"BMI -> CAD",0.0169,0.00381272,0.0017,0.004923839
"BMI -> CAD",0.0311,0.0033501,0.0035,0.0097926913
"BMI -> CAD",0.0139,0.01659589,0.0019,0.00598063
"BMI -> CAD",0.0135,-0.00920049,0.0023,0.006646994
"BMI -> CAD",0.0182,0.03366249,0.003,0.0093099882
"BMI -> CAD",0.0137,0.0007042,0.0018,0.0050358664
"BMI -> CAD",0.0154,0.01790961,0.002,0.0058895959
"BMI -> CAD",0.024,0.00905944,0.002,0.0060720622
"BMI -> CAD",0.0133,-0.00848489,0.0019,0.0059467752
"BMI -> CAD",0.013,-0.01695635,0.002,0.0060266646
"BMI -> CAD",0.0142,0.01158607,0.0021,0.0059473659
"BMI -> CAD",0.034,0.03351844,0.0021,0.0064155211
"BMI -> CAD",0.0239,0.02503529,0.0017,0.0051203215
"BMI -> CAD",0.0139,0.01303984,0.002,0.0056033027
"BMI -> CAD",0.0097,0.00792582,0.0017,0.0050119416
"BMI -> CAD",0.0117,0.00181806,0.0018,0.0050947988
"BMI -> CAD",0.0111,-0.00492291,0.0018,0.0051664155
"BMI -> CAD",0.0132,0.00754597,0.0021,0.0064131433
"BMI -> CAD",0.0141,0.01978238,0.002,0.0057537976
"BMI -> CAD",0.0119,0.00475647,0.0018,0.0051853484
"BMI -> CAD",0.0142,0.01459151,0.0021,0.0064699914
"BMI -> CAD",0.0189,0.01679688,0.0017,0.0049563121
"BMI -> CAD",0.0189,0.01990133,0.0024,0.0068742479
"BMI -> CAD",0.0121,-0.00405775,0.0021,0.0061258344
"BMI -> CAD",0.0148,-0.00413168,0.002,0.005800249
"BMI -> CAD",0.0123,0.00798168,0.0017,0.00503613
"BMI -> CAD",0.0146,-0.00496876,0.0018,0.00529212
"BMI -> CAD",0.0146,0.0093822,0.002,0.0058631627
"BMI -> CAD",0.0143,-0.01760413,0.0016,0.0049479182
"BMI -> CAD",0.024,0.00985597,0.0022,0.0062431581
"BMI -> CAD",0.0162,0.01329089,0.0017,0.0049857951
"BMI -> CAD",0.0168,0.00774923,0.0017,0.005166232
"BMI -> CAD",0.0157,0.00451586,0.002,0.0056371238
"BMI -> CAD",0.0098,0.00180225,0.0017,0.0050331823
"BMI -> CAD",0.0144,0.01250765,0.0022,0.0060470428
"BMI -> CAD",0.0178,0.00395792,0.0022,0.0069595006
"BMI -> CAD",0.0359,0.00273859,0.0031,0.0097189297
"BMI -> CAD",0.0111,0.00215176,0.0016,0.0051419358
"BMI -> CAD",0.0139,0.00285368,0.0024,0.0066044202
"BMI -> CAD",0.0316,0.00250673,0.0025,0.0074240372
"BMI -> CAD",0.0184,0.01380269,0.002,0.0060339436
"BMI -> CAD",0.0184,0.00554756,0.0017,0.0052144987
"BMI -> CAD",0.0135,-0.00151671,0.0019,0.0052783846
"BMI -> CAD",0.0196,0.00077128,0.0026,0.0076380055
"BMI -> CAD",0.0154,0.0126128,0.0019,0.0053427238
"BMI -> CAD",0.0176,0.02236453,0.0021,0.0060794583
"BMI -> CAD",0.0105,-0.01635457,0.0017,0.0050733084
"BMI -> CAD",0.0135,0.00640279,0.0023,0.0061936324
"BMI -> CAD",0.0123,0.00652975,0.0017,0.0049682951
"BMI -> CAD",0.014,0.01203483,0.0018,0.0053331513
"BMI -> CAD",0.0156,0.00567485,0.0026,0.0074685646
"BMI -> CAD",0.0102,-0.00189527,0.0017,0.0049355443
"BMI -> CAD",0.0133,-0.01065136,0.0018,0.0053424765
"BMI -> CAD",0.0117,0.00259727,0.0018,0.005076363
"BMI -> CAD",0.024,0.00969758,0.0032,0.0089262059
"BMI -> CAD",0.0105,-0.0009805,0.0019,0.0055801958
"BMI -> CAD",0.0212,0.00591632,0.0033,0.0091295911
"BMI -> CAD",0.0136,0.00443486,0.002,0.0058030729
"BMI -> CAD",0.0118,0.00670582,0.0018,0.0053677285
"BMI -> CAD",0.0136,0.00588037,0.002,0.0056318829
"BMI -> CAD",0.0186,0.02317269,0.0028,0.0083923932
"BMI -> CAD",0.0139,-0.00059614,0.0019,0.00520601
"BMI -> CAD",0.018,0.0043232,0.0016,0.004952123
"BMI -> CAD",0.0179,0.00254136,0.0018,0.0050210141
"BMI -> CAD",0.0203,0.00444834,0.0017,0.0048859509
"BMI -> CAD",0.0142,0.01182837,0.0018,0.0050765245
"BMI -> CAD",0.0574,0.02391071,0.0021,0.0065370752
"BMI -> CAD",0.0126,0.00562565,0.002,0.0057565225
"BMI -> CAD",0.0154,-0.00179844,0.0018,0.0050639112
"BMI -> CAD",0.0187,-0.00635225,0.0032,0.010041352
"BMI -> CAD",0.047,-0.00753763,0.0032,0.011200593
"BMI -> CAD",0.0117,0.01013739,0.0017,0.0051227092
"BMI -> CAD",0.0103,-0.00163067,0.0018,0.0051424938
"BMI -> CAD",0.0192,0.0018232,0.0023,0.0070828709
"BMI -> CAD",0.0133,0.00252571,0.0016,0.0049553689
"BMI -> CAD",0.0236,0.03036494,0.0025,0.007872657
"BMI -> CAD",0.0216,-0.00235699,0.0018,0.005442543
"BMI -> CAD",0.0204,0.01518933,0.0024,0.0065477299
"BMI -> CAD",0.0112,0.00507896,0.0018,0.0054410209
"BMI -> CAD",0.0154,0.00980103,0.0018,0.0052688073
"BMI -> CAD",0.0155,0.00127658,0.0018,0.0050319474
"BMI -> CAD",0.0123,0.00480648,0.002,0.0058735205
"BMI -> CAD",0.014,0.01033622,0.0018,0.0050906057
"BMI -> CAD",0.0132,0.01021879,0.0018,0.005143574
"BMI -> CAD",0.0293,0.01519544,0.002,0.0058258765
"BMI -> CAD",0.0137,-0.00248932,0.0019,0.0055680393
"BMI -> CAD",0.0119,0.01272747,0.0018,0.0053888061
"BMI -> CAD",0.0131,0.01130606,0.002,0.0054754993
"BMI -> CAD",0.0201,0.00354936,0.0029,0.007925493
"BMI -> CAD",0.0246,0.0190595,0.0017,0.0053231593
"BMI -> CAD",0.0125,0.01220376,0.0018,0.0049872717
"BMI -> CAD",0.0196,0.00321837,0.0019,0.0054408602
"BMI -> CAD",0.0123,-0.0055624,0.0022,0.0063167652
"BMI -> CAD",0.0141,0.00145792,0.0018,0.0054577881
"BMI -> CAD",0.0125,0.01142072,0.002,0.005939644
"BMI -> CAD",0.0228,0.01388059,0.0024,0.0071251042
"BMI -> CAD",0.0138,0.0008519,0.0017,0.0048913772
"BMI -> CAD",0.0094,-0.00208922,0.0016,0.0050721741
"BMI -> CAD",0.014,0.0110503,0.0017,0.0049197857
"BMI -> CAD",0.0164,-0.00172366,0.0022,0.0063931919
"BMI -> CAD",0.0164,0.01045365,0.0017,0.0050826461
"BMI -> CAD",0.0147,0.01096532,0.0025,0.0069808098
"BMI -> CAD",0.0123,0.00800425,0.002,0.0055198349
"BMI -> CAD",0.0213,0.00330496,0.0019,0.0054572026
"BMI -> CAD",0.0108,0.00898176,0.0018,0.0050372008
"BMI -> CAD",0.0101,-0.01656751,0.0018,0.0049700214
"BMI -> CAD",0.0099,0.01197901,0.0017,0.005135785
"BMI -> CAD",0.0187,0.00794441,0.0032,0.0091898773
"BMI -> CAD",0.0116,0.00276791,0.0018,0.0049610614
"BMI -> CAD",0.0369,0.01542226,0.0035,0.009503195
"BMI -> CAD",0.0125,-0.00113944,0.0017,0.0049307672
"BMI -> CAD",0.0145,0.00898023,0.0025,0.0069953054
"BMI -> CAD",0.0331,0.03401341,0.0026,0.0073780904
"BMI -> CAD",0.0134,-0.01521903,0.002,0.0056042455
"BMI -> CAD",0.0151,0.01098938,0.0023,0.0068433497
"BMI -> CAD",0.0172,0.00934344,0.0025,0.0070791257
"BMI -> CAD",0.0118,0.00954969,0.002,0.0055276745
"BMI -> CAD",0.0385,0.02363682,0.0028,0.0085330364
"BMI -> CAD",0.0166,0.01088631,0.0021,0.006075814
"BMI -> CAD",0.0212,-0.0094467,0.0036,0.01039947
"BMI -> CAD",0.015,0.00489969,0.002,0.0062033159
"BMI -> CAD",0.0221,0.00454751,0.0018,0.005426795
"BMI -> CAD",0.0353,0.01007592,0.005,0.013628721
"BMI -> CAD",0.0104,0.00257134,0.0019,0.0051411249
"BMI -> CAD",0.0125,0.00672092,0.0016,0.0050442147
"BMI -> CAD",0.0215,0.01307002,0.0018,0.0053096926
"BMI -> CAD",0.0108,-0.00857015,0.0018,0.0051636231
"BMI -> CAD",0.0167,0.01574667,0.0028,0.0084038463
"BMI -> CAD",0.0153,0.00313181,0.0026,0.0074656281
"BMI -> CAD",0.0125,0.01113529,0.0022,0.0059447439
"BMI -> CAD",0.0186,-0.01463957,0.0018,0.005319247
"BMI -> CAD",0.0103,0.00732481,0.0018,0.0050159158
"BMI -> CAD",0.0171,0.0117021,0.003,0.0088072804
"BMI -> CAD",0.015,0.02528728,0.0027,0.0085665805
"BMI -> CAD",0.0141,-0.0023031,0.0022,0.0061695618
"BMI -> CAD",0.0096,-0.00022362,0.0017,0.0050286175
"BMI -> CAD",0.016,-0.00669711,0.0019,0.0057839972
"BMI -> CAD",0.0157,0.01147273,0.0027,0.0078624411
"BMI -> CAD",0.0126,0.00913473,0.0018,0.0052953087
"BMI -> CAD",0.0183,0.02666426,0.0019,0.0055392833
"BMI -> CAD",0.0129,-0.00772986,0.0023,0.0067697446
"BMI -> CAD",0.013,-0.00305853,0.0019,0.0062425123
"BMI -> CAD",0.0258,0.01345619,0.0022,0.0065910945
"BMI -> CAD",0.0132,0.03155069,0.0018,0.00505228
"BMI -> CAD",0.0109,0.00514035,0.002,0.0051669903
"BMI -> CAD",0.0203,-0.01007128,0.0029,0.0077151688
"BMI -> CAD",0.0115,0.01153782,0.0019,0.0054005423
"BMI -> CAD",0.0115,0.01682823,0.0018,0.0051211402
"BMI -> CAD",0.0103,0.01231551,0.0017,0.0050969639
"BMI -> CAD",0.0194,-0.00512517,0.0017,0.0050780211
"BMI -> CAD",0.0108,0.01182914,0.0019,0.0053007362
"BMI -> CAD",0.0107,0.00291701,0.0018,0.0051815414
"BMI -> CAD",0.0109,0.00939041,0.0017,0.0049219927
"BMI -> CAD",0.0148,-0.00228142,0.0016,0.0051196388
"BMI -> CAD",0.0141,0.01266321,0.0016,0.0049105135
"BMI -> CAD",0.0112,0.00887315,0.0018,0.0051545225
"BMI -> CAD",0.0137,0.01386885,0.0018,0.0051073556
"BMI -> CAD",0.0145,-0.01553929,0.0019,0.0055000648
"BMI -> CAD",0.0175,-0.00083984,0.0026,0.0072883356
"BMI -> CAD",0.0097,0.00796436,0.0017,0.0049504995
"BMI -> CAD",0.0331,0.02175944,0.0021,0.0064533746
"BMI -> CAD",0.0106,0.00543045,0.0019,0.0051464306
"BMI -> CAD",0.0104,-0.00958929,0.0018,0.0052352235
"BMI -> CAD",0.0136,0.0107433,0.0017,0.0052298476
"BMI -> CAD",0.0161,0.01651741,0.0017,0.0056808268
"BMI -> CAD",0.0118,0.01855631,0.002,0.0056475021
"BMI -> CAD",0.0176,0.02585153,0.0026,0.0071610573
"BMI -> CAD",0.0166,0.00975949,0.0018,0.0050984614
"BMI -> CAD",0.0356,0.010687,0.0034,0.0094803742
"BMI -> CAD",0.0123,-0.005199,0.0017,0.00511734
"BMI -> CAD",0.0188,0.02393659,0.0026,0.0073548276
"BMI -> CAD",0.0152,0.02423449,0.0018,0.005044512
"BMI -> CAD",0.0155,0.00327942,0.0018,0.0053074035
"BMI -> CAD",0.0122,0.00990053,0.0018,0.0051518524
"BMI -> CAD",0.0144,0.01707887,0.0019,0.0055077714
"BMI -> CAD",0.0129,0.01209457,0.0017,0.004899411
"BMI -> CAD",0.0147,0.00222672,0.002,0.0055538316
"BMI -> CAD",0.0139,0.00736187,0.0017,0.0052018487
"BMI -> CAD",0.0127,0.01167361,0.0019,0.0051353652
"BMI -> CAD",0.0131,0.00108281,0.0018,0.0051519089
"BMI -> CAD",0.0121,0.00197088,0.0018,0.0051660558
"BMI -> CAD",0.0135,-0.01048948,0.0018,0.0051579593
"BMI -> CAD",0.0158,0.01612372,0.0022,0.0065914472
"BMI -> CAD",0.0142,-0.00263173,0.002,0.0058517282
"BMI -> CAD",0.0144,-0.00133204,0.0018,0.0050801804
"BMI -> CAD",0.016,0.01948993,0.002,0.0058206582
"BMI -> CAD",0.0127,0.00689824,0.0021,0.0059659276
"BMI -> CAD",0.0112,0.00145296,0.0019,0.0053615559
"BMI -> CAD",0.0265,0.01028957,0.0016,0.0050453532
"BMI -> CAD",0.0145,0.00740958,0.0017,0.005169037
"BMI -> CAD",0.0174,0.00947879,0.0017,0.0049971059
"BMI -> CAD",0.0119,0.01907151,0.0016,0.0049199242
"BMI -> CAD",0.0105,-0.00027277,0.0019,0.0049507775
"BMI -> CAD",0.0119,0.00940829,0.0018,0.0050173431
"BMI -> CAD",0.0111,0.01296647,0.0018,0.00499242
"BMI -> CAD",0.0154,0.00625231,0.0018,0.0050301313
"BMI -> CAD",0.0161,0.01308556,0.0016,0.0050139899
"BMI -> CAD",0.0146,0.00854489,0.0022,0.0063498964
"BMI -> CAD",0.0116,0.01223726,0.0019,0.0051434968
"BMI -> CAD",0.0103,0.00558364,0.0016,0.0050753472
"BMI -> CAD",0.0142,-0.00058761,0.0017,0.0048923178
"BMI -> CAD",0.011,0.00023653,0.0019,0.005489607
"BMI -> CAD",0.0127,-0.00544707,0.0023,0.0064272968
"BMI -> CAD",0.0137,0.01258746,0.0017,0.0049298395
"BMI -> CAD",0.0188,0.00656496,0.002,0.0058497966
"BMI -> CAD",0.0153,0.00139405,0.0018,0.0050218688
